Query,Category
I'm going to a poetry reading from 6.00PM to 8.00PM this Wednesday.,1
Attend a business conference from 9.00AM to 5.00PM next Monday.,1
Attend a training session from 2.00PM to 4.00PM tomorrow.,1
I'm going to a beer festival from 2.00PM to 6.00PM this Saturday.,1
I'm attending a seminar from 10.00AM to 12.00PM this Thursday.,1
I'm going to a stand-up comedy show from 8.00PM to 10.00PM this Friday.,1
I'm going to a sports game from 2.00PM to 4.00PM this Sunday.,1
I'm attending a book club meeting from 7.00PM to 9.00PM this Tuesday.,1
I'm going to a cultural festival from 10.00AM to 8.00PM this Saturday.,1
I'm attending a music workshop from 2.00PM to 4.00PM this Sunday.,1
I'm going to a wine and cheese tasting from 6.00PM to 8.00PM this Wednesday.,1
I'm going to a pop-up shop from 11.00AM to 2.00PM this Saturday.,1
I'm attending a job training session from 9.00AM to 12.00PM this Friday.,1
I'm attending a charity benefit from 6.00PM to 9.00PM this Thursday.,1
I'm going to a theater rehearsal from 7.00PM to 9.00PM this Tuesday.,1
I'm attending a language exchange meetup from 6.00PM to 8.00PM this Monday,1
I'm going to a book club discussion from 5.00PM to 7.00PM this Friday.,1
I'm attending a historical tour from 10.00AM to 12.00PM this Sunday.,1
I'm going to a flower arranging class from 2.00PM to 4.00PM this Wednesday.,1
Have a 30-minute meditation session every evening at 9:00 PM.,2
Go for a 1-hour walk every morning at 7:00 AM.,2
Attend a 2-hour dance class every Monday at 6:00 PM.,2
Study for 2 hours every afternoon from 2:00 PM to 4:00 PM.,2
Have a 1-hour photography lesson every Thursday at 6:00 PM,2
Attend a 1-hour fitness class every Tuesday and Thursday at 7:00 AM.,2
Go for a 30-minute swim during lunch break every workday at 1:00 PM.,2
Have a 1-hour sketching session every Saturday at 10:00 AM.,2
Attend a 2-hour music theory class every Wednesday at 5:00 PM.,2
Go for a 1-hour yoga class every Monday and Wednesday at 6:00 PM.,2
Have a 30-minute stretching session every evening at 8:00 PM.,2
Attend a 1-hour improv class every Friday at 7:00 PM.,2
Go for a 2-hour counseling  session every Sunday at 10:00 AM.,2
Have a 1-hour voice lesson every Tuesday at 4:00 PM.,2
Attend a 1-hour chess club meeting every other Thursday at 7:00 PM.,2
Go for a 30-minute jog every morning at 6:00 AM.,2
Have a 1-hour web design session every Tuesday and Thursday at 2:00 PM,2
Attend a 2-hour dancing rehearsal every Saturday at 3:00 PM.,2
Go for a 1-hour elocution class every Monday and Wednesday at 7:00 PM.,2
Have a 30-minute daily gratitude journaling session every evening at 10:00 PM.,2
Go for a 1-hour rock climbing session every Sunday at 6:00 PM.,2
Have a 1-hour violin lesson every Wednesday at 3:00 PM.,2
Go for a 2-hour birdwatching tour every Saturday at 7:00 AM.,2
Attend a 2-hour graphic design class every Wednesday at 7:00 PM,2
Have a 1-hour drum lesson every Thursday at 4:00 PM.,2
Create a new menu for a restaurant.,4
Implement a new inventory system for a grocery store.,4
Design and launch a new social media campaign for a political candidate,4
Develop a new software application for managing medical records.,4
Create a new clothing line for a fashion brand.,4
Implement a new project management tool for an architecture firm.,4
Design and launch a new website for a local theater group.,4
Develop a new online booking system for a transportation company.,4
Create a new training program for sales representatives.,4
Implement a new financial management system for a non-profit organization.,4
Design and launch a new mobile app for a language learning platform.,4
Develop a new online marketplace for eco-friendly products.,4
Create a new database for a geological survey project.,4
Implement a new employee wellness program for a tech company.,4
Design and launch a new website for a charity marathon.,4
Develop a new software tool for managing customer feedback.,4
Create a new marketing campaign for a high-end fashion brand.,4
Design and launch a new mobile game app for children.,4
Develop a new system for tracking employee performance and goals.,4
Create a new training program for nurses at a hospital.,4
Implement a new project management tool for a landscaping company.,4
Design and launch a new website for a wedding planning service.,4
Develop a new virtual reality experience for a museum.,4
Create a new database for tracking climate change data.,4
Implement a new employee development program for a consulting firm.,4
Design and launch a new website for a music streaming service.,4
Develop a new software tool for managing team collaboration.,4
Create a new marketing campaign for a luxury hotel.,4
Implement a new email newsletter system for a food delivery service,4
Implement a new employee wellness program for a tech company.,4
Design and launch a new website for a charity marathon.,4
Create an e-learning platform for a language school.,4
Implement a new customer relationship management (CRM) system for a financial advisory firm.,4
Design and launch a new social media campaign for a startup.,4
Develop a new project management software for a software development team.,4
Create a new menu for a restaurant and launch a marketing campaign to promote it.,4
Implement a new accounting software for a small business.,4
Design and launch a new website for a nonprofit organization.,4
Develop a new scheduling system for a dental clinic.,4
Create a new training program for new hires at a tech company.,4
Implement a new inventory tracking system for a grocery store.,4
Design and launch a new marketing campaign for a fashion brand.,4
Develop a new mobile app for a travel agency.,4
Create a new database for a research project in renewable energy.,4
Implement a new employee wellness program for a large corporation.,4
Design and launch a new website for a law firm.,4
Develop a new e-commerce platform for a fashion boutique.,4
Create a new training program for sales representatives at a pharmaceutical company.,4
Implement a new project management tool for a consulting firm.,4
Design and launch a new social media campaign for a beauty brand.,4
Develop a new software application for a transportation company.,4
Create a new database for a museum's collection.,4
Implement a new HR management system for a startup.,4
Design and launch a new website for a landscaping business.,4
Develop a new mobile app for a grocery delivery service.,4
Create a new training program for nurses at a hospital.,4
Implement a new customer service software for a telecommunications company.,4
Design and launch a new marketing campaign for a sports equipment brand.,4
Develop a new database for a research project in neuroscience.,4
Create a new project management tool for a design agency.,4
Implement a new inventory tracking system for a pet store.,4
I plan to have a coffee break from 10.00AM to 10.15AM this morning.,0
I aim to complete a blog post from 2.00PM to 3.00PM this afternoon.,0
I intend to take a walk from 5.00PM to 6.00PM this evening.,0
I need to attend a doctor's appointment from 9.00AM to 10.00AM this Friday.,0
I hope to watch a movie from 8.00PM to 10.00PM this Saturday.,0
I desire to cook a new recipe from 6.00PM to 7.00PM this Sunday.,0
I plan to attend a webinar from 1.00PM to 2.00PM this Monday.,0
I aim to complete a home project from 4.00PM to 6.00PM this Tuesday.,0
I intend to have a brainstorming session from 11.00AM to 12.00PM this Wednesday.,0
I hope to take a nap from 3.00PM to 4.00PM this Thursday.,0
I want to finish a crossword puzzle from 7.00PM to 8.00PM tonight.,0
I plan to have a family dinner from 6.00PM to 7.00PM this Friday.,0
I aim to finish a DIY project from 10.00AM to 11.00AM this Saturday.,0
I intend to do some gardening from 3.00PM to 4.00PM this Sunday.,0
I hope to go for a bike ride from 7.00AM to 8.00AM tomorrow morning.,0
I desire to do some meditation from 5.00PM to 5.30PM tonight.,0
I plan to attend a networking event from 6.00PM to 8.00PM this Thursday.,0
I aim to write a letter to a friend from 1.00PM to 2.00PM this Friday.,0
I intend to have a catch-up call with a colleague from 11.00AM to 12.00PM this Saturday.,0
I hope to do some volunteer work from 10.00AM to 12.00PM this Sunday.,0
I want to attend a yoga class from 7.00AM to 8.00AM this Monday.,0
I plan to go grocery shopping from 2.00PM to 3.00PM this Tuesday.,0
I aim to clean my house from 9.00AM to 11.00AM this Wednesday.,0
I intend to practice a musical instrument from 6.00PM to 7.00PM this Thursday.,0
I hope to have a game night with friends from 7.00PM to 9.00PM this Friday.,0
I desire to take an online course from 2.00PM to 3.00PM this Saturday.,0
I plan to do some journaling from 8.00PM to 9.00PM this Sunday.,0
I aim to work on a side project from 7.00PM to 9.00PM tonight.,0
I intend to do some budgeting from 1.00PM to 2.00PM this Monday.,0
I hope to take a bubble bath from 9.00PM to 10.00PM tonight.,0
I need to study for my upcoming exam,3
I need to study for my upcoming exam ,3
I want to spend some time gardening this afternoon.,3
I aim to finish reading a novel by the end of this week.,3
I plan to watch a documentary on climate change tonight.,3
I want to learn a new language and practice it for an hour every day.,3
I aim to complete my daily meditation practice.,3
I plan to start a new blog and spend an hour writing each day.,3
I have to finish a report for work by the end of the week.,3
I want to take an online course on digital marketing and spend an hour on it each day.,3
I aim to work on my photography skills and practice for an hour every day.,3
I plan to declutter my house and spend an hour on it each day.,3
I have to organize my finances and spend an hour on it each day.,3
I want to start a new exercise routine and workout for an hour each day.,3
I aim to improve my public speaking skills and practice for an hour each day.,3
I plan to start a new hobby of painting and spend an hour on it each day.,3
I have to write a research paper and spend two hours on it each day.,3
I want to start a new business venture and spend two hours on it each day.,3
I aim to develop a new software program and spend two hours on it each day.,3
I plan to learn how to play a new musical instrument and practice for an hour each day.,3
I have to plan a birthday party and spend an hour on it each day.,3
I want to start a new exercise challenge and complete it within a month.,3
I aim to learn how to code and spend an hour on it each day.,3
I plan to write a novel and spend two hours on it each day.,3
I have to prepare for a job interview and spend an hour on it each day.,3
I want to start a new garden and spend an hour on it each day.,3
I aim to learn how to knit and spend an hour on it each day.,3
I plan to clean my car and spend an hour on it each day.,3
Create a social media strategy for a new startup.,3
Write a business plan for a new venture.,3
Design a new product line for a fashion brand.,3
Develop a new app for a financial services company.,3
Implement a new software system for a healthcare provider.,3
Create an advertising campaign for a luxury brand.,3
Produce a marketing video for a tourism destination.,3
Develop a new website for a legal firm.,3
Conduct a research project on consumer behavior in a specific market.,3
Design and implement a new recycling program for a city.,3
Create a new educational program for a non-profit organization.,3
Write a grant proposal for a scientific research project.,3
Develop a new supply chain management system for a logistics company.,3
Create a new mobile game for a gaming company.,3
Conduct a study on the impact of a new technology on a specific industry.,3
Design and implement a new customer service program for a retail chain.,3
Create a new sustainability plan for a manufacturing company.,3
Produce a podcast series on a specific topic or theme.,3
Develop a new training program for a sales team.,3
Create a new financial analysis model for a consulting firm.,3
Design and implement a new wellness program for a healthcare provider.,3
Conduct a market analysis for a new product or service.,3
Develop a new user interface for a software application.,3
Create a new event concept and plan for a corporate event.,3
Produce a new music album or single for an artist.,3
Design and implement a new volunteer program for a charity organization.,3
Conduct a study on the effectiveness of a new educational program.,3
Create a new training program for a human resources team.,3
Create an advertising campaign for a new product launch.,3
Develop a new software program for a specific industry or task.,3
Conduct a research project to evaluate the effectiveness of a public health intervention.,3
Create a social media strategy for a local government organization.,3
Produce a series of educational videos on a topic of interest.,3
Design and implement a new employee training program for a company.,3
Develop a new mobile application for a specific market segment.,3
Conduct a survey to understand customer satisfaction and identify areas for improvement.,3
Create a series of online courses on a specialized topic.,3
Produce a series of podcasts on a specific theme or topic.,3
Develop a new system for managing and tracking inventory for a retail business.,3
Conduct a market analysis to identify potential new business opportunities.,3
Create a marketing plan for a new line of products for a cosmetic company.,3
Design and implement a new recycling program for a community.,3
Produce a series of webinars on a topic of interest to a specific audience.,3
Develop a new product packaging design for a consumer product.,3
Conduct a usability study to evaluate the user experience of a software application.,3
Create a new social media platform for a specific niche market.,3
Design and build a new website for a small business.,3
Develop a new training program for a specific industry or profession.,3
Conduct a research project to identify trends and emerging issues in a specific field.,3
Create a public relations campaign to promote a product or service.,3
Design and implement a new customer service system for a company.,3
Produce a series of video tutorials on a specialized skill or topic.,3
Develop a new program or initiative to address a social or environmental issue.,3
Conduct a cost-benefit analysis to evaluate the potential impact of a new project.,3
Create a new financial management plan for a nonprofit organization.,3
Design and implement a new rewards and recognition program for employees.,3
Read a book for 30 minutes every night before bed.,2
Practice a foreign language for 1 hour every day.,2
Attend a 2-hour cooking class every Saturday at 2:00 PM.,2
Go for a 1-hour bike ride every Friday at 5:00 PM.,2
Have a 1-hour writing session every morning at 9:00 AM.,2
Attend a 2-hour painting class every Thursday at 2:00 PM.,2
Practice a musical instrument for 30 minutes every day.,2
Go for a 1-hour nature walk every Sunday at 8:00 AM.,2
Attend a 1-hour public speaking class every Tuesday at 5:00 PM.,2
Have a 30-minute meditation session every morning at 6:00 AM.,2
Attend a 1-hour knitting class every Wednesday at 6:00 PM.,2
Practice a sport for 1 hour every day.,2
Go for a 2-hour hike every Saturday at 9:00 AM.,2
Have a 1-hour gardening session every Sunday at 10:00 AM.,2
Attend a 1-hour book club meeting every other Tuesday at 7:00 PM.,2
Practice calligraphy for 30 minutes every day.,2
Go for a 1-hour swim at the gym every Tuesday and Thursday at 8:00 PM.,2
Have a 1-hour guitar lesson every Monday at 3:00 PM.,2
Attend a 2-hour dance performance every Friday at 8:00 PM.,2
Practice mindfulness for 30 minutes every morning at 7:00 AM.,2
Go for a 1-hour tennis lesson every Friday at 4:00 PM.,2
Have a 1-hour math tutoring session every Wednesday at 4:00 PM.,2
Attend a 1-hour sculpting class every Tuesday at 6:00 PM.,2
Practice coding for 2 hours every evening from 7:00 PM to 9:00 PM.,2
Go for a 30-minute run every evening at 6:00 PM.,2
Have a 1-hour makeup tutorial session every Saturday at 11:00 AM.,2
Attend a 2-hour theater workshop every Sunday at 2:00 PM.,2
Practice a new hobby for 1 hour every day from 7pm,2
Have a 1-hour baking lesson every Wednesday at 4:00 PM.,2
Attend a 1-hour personal finance seminar every Monday at 7:00 PM.,2
Go for a 2-hour whale watching tour every Sunday at 11:00 AM.,2
Have a 30-minute daily yoga and mindfulness practice session every morning at 8:00 AM.,2
Go for a 1-hour kickboxing class every Tuesday and Thursday at 5:00 PM.,2
Have a 1-hour fashion design lesson every Saturday at 11:00 AM.,2
Attend a 1-hour public speaking workshop every Friday at 5:00 PM.,2
Go for a 30-minute mindfulness walk every evening at 8:00 PM.,2
Have a 1-hour painting session every Wednesday at 2:00 PM.,2
Attend a 2-hour coding bootcamp every Saturday at 10:00 AM.,2
Go for a 1-hour aerial yoga class every Tuesday and Thursday at 8:00 AM.,2
Have a 30-minute daily language practice session every morning at 9:00 AM.,2
Attend a 1-hour book club meeting every other Monday at 6:00 PM.,2
Go for a 2-hour hiking trip every Sunday at 9:00 AM.,2
Have a 1-hour cooking lesson every Friday at 6:00 PM.,2
Attend a 2-hour writing workshop every Tuesday at 6:00 PM,2
Go for a 1-hour kickboxing class every Monday and Wednesday at 5:00 PM.,2
Have a 30-minute guitar practice session every evening at 7:00 PM.,2
Attend a 1-hour art history lecture every Thursday at 3:00 PM,2
Taking an online course from 1:00 pm to 2:00 pm every afternoon,2
Doing strength training from 6:00 am to 7:00 am every day,2
Working on a DIY project from 4:00 pm to 5:00 pm every afternoon,2
Having a family game night from 7:00 pm to 8:00 pm every Friday,2
Working on a puzzle from 9:00 pm to 10:00 pm every night,2
Reading a book to a child from 6:00 pm to 7:00 pm every evening,2
Attending a book club meeting from 7:00 pm to 8:00 pm every Wednesday,2
Practicing a musical instrument from 5:00 pm to 6:00 pm every day,2
Writing in a journal from 9:00 am to 10:00 am every morning,2
Taking an online dance class from 6:00 pm to 7:00 pm every Monday and Wednesday,2
Having a picnic in the park from 12:00 pm to 1:00 pm every Saturday,2
Going for a hike from 9:00 am to 11:00 am every Sunday,2
Volunteering at a local charity from 2:00 pm to 4:00 pm every Thursday,2
Having a virtual coffee date with a friend from 10:00 am to 11:00 am every Friday,2
Attending a language exchange group from 6:00 pm to 7:00 pm every Tuesday,2
Organizing a closet from 3:00 pm to 4:00 pm every Monday,2
Working on a craft project from 10:00 am to 11:00 am every day,2
Playing a board game with family from 7:00 pm to 8:00 pm every Saturday,2
Meditating in nature from 9:00 am to 10:00 am every Saturday,2
Having a family dinner from 6:00 pm to 7:00 pm every night,2
Cleaning out the garage from 1:00 pm to 3:00 pm every Sunday,2
Attending a virtual book signing event from 7:00 pm to 8:00 pm every Wednesday,2
Going for a run from 6:00 am to 7:00 am every other day,2
Practicing photography from 4:00 pm to 5:00 pm every Thursday,2
Having a virtual game night with friends from 8:00 pm to 9:00 pm every Friday,2
Writing poetry from 10:00 am to 11:00 am every day,2
Taking an online cooking class from 3:00 pm to 4:00 pm every Tuesday,2
I plan to have a virtual meeting with my team from 2.00PM to 3.00PM this Tuesday.,0
I desire to take a cooking class from 6.00PM to 8.00PM this Wednesday.,0
I aim to complete my household chores from 9.00AM to 11.00AM this Thursday.,0
I hope to spend time with my family from 4.00PM to 6.00PM this Friday.,0
I want to go for a hike from 10.00AM to 12.00PM this Saturday.,0
I intend to do some grocery shopping from 2.00PM to 3.00PM this Sunday.,0
I need to attend a job interview from 11.00AM to 12.00PM this Monday.,0
I desire to attend a music concert from 7.00PM to 10.00PM this Tuesday.,0
I plan to take an online course from 3.00PM to 5.00PM this Wednesday.,0
I aim to finish a painting from 2.00PM to 3.00PM this Thursday.,0
I hope to attend a friend's party from 8.00PM to 10.00PM this Friday.,0
I want to volunteer at a local charity from 10.00AM to 12.00PM this Saturday.,0
I intend to work on my garden from 4.00PM to 5.00PM this Sunday.,0
I need to attend a parent-teacher meeting from 2.00PM to 3.00PM this Monday.,0
I desire to go for a swim from 10.00AM to 11.00AM this Tuesday.,0
I plan to have a coffee date with a friend from 3.00PM to 4.00PM this Wednesday.,0
I aim to complete a crossword puzzle from 7.00PM to 8.00PM this Thursday.,0
I hope to have a spa day from 12.00PM to 3.00PM this Friday.,0
I want to attend a book club meeting from 6.00PM to 7.00PM this Saturday.,0
I intend to work on my photography skills from 4.00PM to 6.00PM this Sunday.,0
I need to attend a parent-teacher meeting from 2.00PM to 3.00PM this Monday.,0
I desire to go for a bike ride from 5.00PM to 6.00PM this Tuesday.,0
I plan to have a movie night with friends from 8.00PM to 10.00PM this Wednesday.,0
I aim to complete my financial planning from 9.00AM to 10.00AM this Thursday.,0
I hope to attend a networking event from 6.00PM to 8.00PM this Friday.,0
I want to attend a dance class from 10.00AM to 11.00AM this Saturday.,0
I intend to work on a DIY project from 2.00PM to 4.00PM this Sunday.,0
I need to attend a dentist appointment from 11.00AM to 12.00PM this Monday.,0
I desire to go for a nature walk from 4.00PM to 5.00PM this Tuesday.,0
I plan to have a board game night with friends from 7.00PM to 9.00PM this Wednesday.,0
I aim to complete my home renovation project from 10.00AM to 12.00PM this Thursday.,0
I hope to attend a music festival from 2.00PM to 8.00PM this Friday.,0
I want to attend a yoga class from 8.00AM to 9 AM,0
Finish making the CV for 4 hours starting from 5 PM today. ,0
Attend John's wedding next Saturday from 2 PM to 8 PM,1
"Go to the gym every Monday, Wednesday and Friday at 6 AM to 7.30 AM",2
Complete the sales report for Q1 by next Friday,3
Launch the new online store for our company by the end of the month,4
Write the essay on environmental conservation from 4 PM to 5 PM.,0
Buy groceries for the week after work today from 6 PM to 7 PM,0
Book a hotel room for the business trip next week to meet potential investors at 5 PM,0
"Watch the premiere of the new season of ""Strange Things"" on Netflix tomorrow starting at 8 PM for 3 hours",1
Attend the weekly team meeting every Tuesday at 10 AM - 11 AM,2
Go to music class on Saturday at 3.30 PM for 2 hours,2
Develop a marketing plan for the new product by next Thursday,3
Revamp the company website by the end of the quarter,4
Go to the art exhibition at the meseum on Sunday from 1 PM to 3 PM,1
Go to watch Stage Craft on Friday from 6 PM - 10 PM,1
Practise the guitar from 4 PM to 5 PM everyday.,2
Attend the business networking event next week to meet potential investors,4
"Go to the theater performance of ""The Lion King"" next Friday at 7PM - 9 PM",1
Take the dog for a walk every morning at 7 AM for 1 hour,2
Research and implement a new inventory management system by next month,3
Finish the SDGP project by March 20th,3
Develop a business plan for the new startup idea by next week,4
Call the dentist to schedule a teeth cleaning appoinment for next week at 7 AM,0
Submit the application for the scholarship by 7 PM on Friday ,0
Do the Mock ICT for client server module before 12AM on Friday,0
Attend the charity auction at the community center on Saturday from 6 PM to 9 PM,1
Meditate from 7 AM to 7.10 AM everyday,2
Create a social media marketing campaign for the new product launch by next Wednesday,3
Launch the crowdfunding campaign for the new startup idea by the end of the week,4
Meet up with friends for a dinner at the new restaurant tonight at 7 PM,1
Read from 10.30 PM to 11.30 PM everyday,2
Write a research paper on renewable energy sources by next week,3
Complete the game engine architecture coursework before May 10th,3
Attend the startup accelerator program to learn about business growth strategies,4
Clean the house from 10 AM to 12 PM on Saturday,0
Renew the car policy insurence policy by 31st March 12PM,0
Attend the book signing event with the author on Sunday from 2 PM to 4 PM,1
Attend the weekly yoga class every Thursday at 6PM for 2 hours,2
Create a budget plan for the new fiscal year by next Monday,3
Pitch the new startup idea to potential investors at the pitch competition next week,4
Attend the industry conference to learn about the latest trends and innovations. ,4
Design a new website for the client by the end of the week,3
Go to the live music concert in the park on Friday from 7PM onwards.,2
Complete the monthly financial report from 8AM - 11.59PM,0
Attend the business conference next week from Monday to Wednesday from 9 AM to 5 PM,1
Develop a training program for the new employees by next month,3
Complete a new piece of art by end of next month ,3
Create a pitch deck for potential investors by the end of the quarter.,4
Attend the theater play next Saturday from 2 PM to 5 PM,1
Write a blog post about the new product by the end of the day,3
Create a new marketing campaign for the upcoming sale by next week ,3
Hire a graphic designer for the new business website by next month,4
Go to the birthday party of a friend next Saturday from 7 PM to 9 PM,1
Attend the team meeting at 10 AM today for an hour,0
Launch the new product by the end of the quater,4
Go to the book launch event of the favourite author next Sunday from 4 PM to 6 PM,1
Attend the startup accelerator program next month to learn from mentors,4
I need to finish my project report by 5 PM today,0
I have a dentist appoinment at 10AM tomorrow for 30 minutes,0
I want to attend the yoga class from 6.30PM to 7.30PM everyday.,2
I have a client meeting at 2PM this afternoon for an hour,0
I need to complete my workout at the gym from 9AM to 10AM,0
I want to watch a movie at 7PM tonight,0
I need to start preparing dinner at 6.30 PM - 8 PM,0
I have a doctor's appointment at 3.30 PM tomorrow for 30 minutes,0
I want to finish reading my book by 8 PM tonight,0
I have a job interview at 11 AM for 15 minutes tomorrow,0
I need to finish my assignment  from 6 PM-8PM,0
I have a conference call starting at 4PM for 3 hours this afternoon,0
I need to take a nap from 2PM to 2.30PM,0
I want to attend a networking event from 5.30PM - 7.30PM,0
I have an haircut appoinment at 11AM that goes for 1 hour,0
I want to go on a walk from 6PM to 7PM,0
I want to have a coffee break from 3PM - 3.30PM,0
I want to attend a concert at 8PM for 4 hours,0
I want to ride the bike from 4PM to 5PM today,0
I want to attend a seminar from 10AM to 12PM today,0
I have a family gathering at 7PM tonight,0
I want to attend a workshop from 2PM to 4PM today,0
I have my lunch from 12.30PM-1.30PM,2
I need to attend a meeting at 4.30PM for 2 hours on Friday,0
I'm going to have a job interview tomorrow at 10Am for an hour,1
I'm attending a webinar today from 2PM to 3PM,1
I'm going to attend a meeting tomorrow at 2.30PM for 2 hours,1
I'm going to watch a movie tonight from 7PM-9PM,1
I'm going to have a lunch meeting tomorrow at 12.30PM for an hour,1
I'm attending a concert tonight from 8PM to 9PM,1
I'm going to attend a job training session tomorrow at 9AM for 4 hours,1
I'm going to the gym today at 6PM for 1.5 hours,1
I'm attending a team meeting tomorrow at 11AM for 1 hour,1
I;m going to have a tea break at 3PM for 30 minutes,1
I'm attending a networking event tonight from 5.30Pm to 7.30PM,1
I'm going to attend a conference tomorrow at 1Pm for 3 hours,1
I'm going to a birthday party tonight at 8Pm for 2 hours,1
I'm attending a dance class today from 5pm - 6pm,1
iIm going to the dentist appointment tomorrow at 3Pm for 1 hour,1
I'm going to a charity event tonight from 6.30 pm to 9.30 pm,1
I'm attending a parent-teacher meeting tomorrow at 2pm for 1 hour,1
I'm going to the grocery store today at 4pm for 1 hour,1
I'm going to the bank today at 2.30pm for 30 minutes,1
I'm attending a wedding reception tonight from 6pm to 10pm,1
I'm going to a doctor's appointment on Saturday at 9.30am for 1 hour,1
I'm going to the gym tomorrow at 8am for 2 hours,1
I'm going to have alunch break at 12.30 for a hour.,1
I'm going to have a nail appointment on Thursday at 11am for a hour,1
I'm going to the library tomorrow at 10am for 2 hours,1
I'm attending a workshop today from 2pm to 4pm,1
I'm going to watch a cricket match on Sunday from 4pm to 7pm,1
I'm attending a job interview tomorrow at 2pm for an hour,1
I'm attending an office party on Wednesday for 5 hours starting from 6pm,1
I go for a 30 minute walk at 6am every day,2
I have a 45 minute yoga session at 7.30am every Monday and Friday,2
I attend a 2 hour pottery class at 4pm every Wednesday,2
I work out at the gym for an hour at 8am every Tuesday and Thursday,2
I have a 90 minute guitar lesson at 2pm every Saturday,2
