Query,Category
I need to attend a parent-teacher meeting from 2.00PM to 3.00PM this Monday.,0
I desire to go for a swim from 10.00AM to 11.00AM this Tuesday.,0
I desire to watch a play at the theater from 8 pm to 10 pm this Friday.,0
I aim to work on my resume for 30 minutes from 11 am to 11:30 am,0
I intend to work on my photography skills from 4.00PM to 6.00PM this Sunday.,0
I plan to have a phone call with my mentor from 9 am to 10 am,0
I desire to go for a bike ride from 5.00PM to 6.00PM this Tuesday.,0
I aim to complete my financial planning from 9.00AM to 10.00AM this Thursday.,0
I desire to have a self-care day from 10 am to 12 pm this Saturday.,0
I intend to have a spa day at home from 2 pm to 4 pm this Saturday.,0
I intend to work on a DIY project from 2.00PM to 4.00PM this Sunday.,0
I aim to spend 1 hour gardening from 10 am this Monday,0
I aim to do some creative writing from 7 pm to 8 pm,0
I plan to work on a puzzle for 30 minutes from 10 am ,0
I aim to complete my home renovation project from 10.00AM to 12.00PM this Thursday.,0
Finish making the CV for 4 hours starting from 5 PM today. ,0
Write the essay on environmental conservation from 4 PM to 5 PM.,0
Buy groceries for the week after work today from 6 PM to 7 PM,0
Book a hotel room for the business trip next week to meet potential investors at 5 PM,0
Call the dentist to schedule a teeth cleaning appoinment for next week at 7 AM,0
Submit the application for the scholarship by 7 PM on Friday ,0
Do the Mock ICT for client server module before 12AM on Friday,0
Clean the house from 10 AM to 12 PM on Saturday,0
Renew the car policy insurence policy by 31st March 12PM,0
Complete the monthly financial report from 8AM - 11.59PM,0
I intend to do some online shopping from 4 pm to 5 pm this Friday.,0
I need to finish my project report by 5 PM today,0
I have a dentist appoinment at 10AM tomorrow for 30 minutes,0
I have a client meeting at 2PM this afternoon for an hour,0
I need to complete my workout at the gym from 9AM to 10AM,0
I want to watch a movie at 7PM tonight,0
I need to start preparing dinner at 6.30 PM - 8 PM,0
I have a doctor's appointment at 3.30 PM tomorrow for 30 minutes,0
I want to finish reading my book by 8 PM tonight,0
I have a job interview at 11 AM for 15 minutes tomorrow,0
I need to finish my assignment  from 6 PM-8PM,0
I have a conference call starting at 4PM for 3 hours this afternoon,0
I need to take a nap from 2PM to 2.30PM,0
I want to attend a networking event from 5.30PM - 7.30PM,0
I have an haircut appoinment at 11AM that goes for 1 hour,0
I want to go on a walk from 6PM to 7PM,0
I want to have a coffee break from 3PM - 3.30PM,0
I want to attend a concert at 8PM for 4 hours,0
I want to ride the bike from 4PM to 5PM today,0
I want to attend a seminar from 10AM to 12PM today,0
I intend to work on my personal blog for 1 hour from 9 pm tonight.,0
I aim to clean my car for 30 minutes from 3 pm today.,0
I intend to research a vacation destination for 1 hour from 4 pm this Friday.,0
I want to go for a run from 6am to 7am tomorrow,0
I plan to organize my desk for 30 minutes from 3 pm today.,0
I want to read a book from 8.00PM to 9.00PM tonight.,0
I need to have a meeting with my boss from 2.00PM to 3.00PM this afternoon.,0
I want to take a nap from 3.00PM to 3.30PM today.,0
I need to fdo my project work for 1 hour from 5.00PM today.,0
I want to attend a networking event from 6.00PM to 8.00PM tonight.,0
I need to complete my grocery shopping from 2.00PM to 3pm this afternoon.,0
I want to have a coffee break from 10.00AM to 10.30AM this morning.,0
I need to attend a doctor's appointment at 4.00PM today for 15 minutes,0
I want to have a lunch break from 12.00PM to 1.00PM today.,0
I need to attend a team meeting from 9.00AM to 10.00AM this morning.,0
I want to attend a concert from 7.00PM to 9.00PM tonight.,0
I need to complete my workout at the gym from 8.00AM to 9.00AM tomorrow.,0
I want to finish my household chores from 11.00AM to 12.00PM this morning.,0
"I aim to finish reading a novel from 7.00PM to 9.00PM tonight.
",0
I want to watch a movie from 9.00PM to 11.00PM tonight.,0
I need to study for a test for 2 hours from 3 pm today.,0
I hope to have a video call with a family member from 7 pm to 8 pm this Saturday.,0
I need to complete an online course from 5.00PM to 7.00PM tonight.,0
I want to attend a seminar from 9.00AM to 11.00AM tomorrow.,0
I need to have a haircut appointment at 2.00PM today for an hour,0
I want to finish reading my book from 7.00PM to 8.00PM tonight.,0
I desire to paint from 3.00PM to 4.00PM this Friday.,0
I want to take a power nap from 1.00PM to 1.30PM today.,0
I hope to bake a cake from 2 pm to 4 pm this Sunday.,0
I want to go for a walk from 4.00PM to 5.00PM today.,0
I need to have a dentist appointment at 10.30AM tomorrow for an hour,0
Create a daily to-do list for 15 minutes from 9 am every morning.,0
I need to finish my laundry from 5.00PM to 6.00PM tonight.,0
I intend to exercise from 6.00AM to 7.00AM tomorrow morning.,0
I aim to finish my work project from 9.00AM to 12.00PM this Friday.,0
I hope to read a book from 7.00PM to 8.00PM this evening.,0
I want to complete my assignments from 1.00PM to 3.00PM tomorrow.,0
Download and install Discord today at 1:00 pm for 30 minutes,0
I desire to learn a new skill from 3.00PM to 5.00PM this Saturday.,0
I plan to have a call with a client from 2.00PM to 3.00PM this Thursday.,0
I intend to exercise from 6.00AM to 7.00AM tomorrow morning.,0
I aim to finish my work project from 9.00AM to 12.00PM this Friday.,0
I hope to read a book from 7.00PM to 8.00PM this evening.,0
I want to complete my assignments from 1.00PM to 3.00PM tomorrow.,0
I intend to exercise from 6.00AM to 7.00AM tomorrow morning.,0
I aim to finish my work project from 9.00AM to 12.00PM this Friday.,0
I hope to read a book from 7.00PM to 8.00PM this evening.,0
I want to complete my assignments from 1.00PM to 3.00PM tomorrow.,0
I plan to do shopping today from 6pm for  hours,0
I desire to learn a new skill from 3.00PM to 5.00PM this Saturday.,0
I plan to have a call with a client from 2.00PM to 3.00PM this Thursday.,0
I intend to exercise from 6.00AM to 7.00AM tomorrow morning.,0
I aim to finish my work project from 9.00AM to 12.00PM this Friday.,0
I hope to read a book from 7.00PM to 8.00PM this evening.,0
I want to complete my assignments from 1.00PM to 3.00PM tomorrow.,0
I intend to exercise from 6.00AM to 7.00AM tomorrow morning.,0
I aim to finish my work project from 9.00AM to 12.00PM this Friday.,0
I hope to read a book from 7.00PM to 8.00PM this evening.,0
I want to complete my assignments from 1.00PM to 3.00PM tomorrow.,0
I desire to work on my hobby from 11.00AM to 12.30PM this Wednesday.,0
I hope to spend time with my pet from 4.00PM to 5.00PM this Thursday.,0
I aim to finish my writing project from 2.00PM to 4.00PM this Friday.,0
I plan to go for a hike from 9.00AM to 11.00AM this Sunday.,0
I will research and write a 500-word article on cyber security at 9:00 am for 2 hours tomorrow,0
I will start cooking at 11:00 am for 2 hours tomorrow,0
I want to reply to all urgent emails from 3:00 pm to 3:30 pm today,0
I want to read the 2nd chapter of cybernetics tomorrow at 6:00 pm for 1 hour,0
I have a meeting at 6:00 pm for 1 hour tomorrow,0
I need to service my bike tomorrow morning at 8:00 am for 3 hours,0
I have an online lecture on Mobile Application tomorrow at 8:00 am for 2 hours,0
I want to read Goosebumps tomorrow at 9:30 am for 1 hour,0
I want to cook breakfast tomorrow at 9:00 am for 30 minutes,0
Mow the lawn tomorrow at 4:00 pm for 1 hour,0
Download and install VS Code today at 1:00 pm for 30 minutes,0
Rearrange the furniture in the living room tomorrow from 11:00 am to 12:00 pm,0
water the plants at 4:00 pm today for 20 minutes,0
proofread and edit a 5-page document at 8:00 am within 2 hours,0
review notes for the ICT tomorrow at 4:00 for 2 hours,0
practice my speech today at 4:45 pm for 1 hour,0
clean the kitchen at 8:00 am tomorrow for 2 hours,0
write a report on IOS on July 2nd for 2 hours ,0
Edit and submit the assignment today at 6:00 pm within 2 hours,0
Install intellij and do java tutorials tomorrow at 2pm for 2 hours,0
Install c++ and do the tutorials today at 3:00 pm for 2 hours,0
cook some fried chicken for dinner at 6:30 pm for 2 hours,0
I need to send an email to my boss today at 8:00 pm within 20 minutes,0
I need to do my laundry today at 8:45 am for 1 hour ,0
I need to pay my bills tomorrow at 10:30 pm within 10 minutes,0
I need to run errands tomorrow at 12:00 pm for 2 hours,0
I desire to write in my gratitude journal for 10 minutes from 11pm each night before bed.,0
I am cooking dinner for my family tonight at 7pm for 2 hours,0
walk the dog at 3:00 pm today for 1 hour,0
watch the Java tutorial today at 10:30 am for 1 hour,0
clean the fish tank for 30 minutes today at 4:00 pm,0
take a 30 minute break today at 3:00 pm,0
have lunch at 12:00 pm today for 15 minutes ,0
Deliver the packages to Rajesh today at 4:00 pm within 2 hours,0
try using kotlin today at 12:00 pm for 1 hour,0
wash the plates and clean the kitchen today at 8:00 am within 1 hour,0
Fold the laundry and put it away in the closet tomorrow at 5:30 pm within 30 minutes,0
Restock the materials and clean the restrooms today at 3:00 pm within 2 hours,0
Clean out the refrigerator and organize the contents tomorrow at 4:00 pm within 30 minutes.,0
Write a thank-you note to Namal today at 3:00 pm within 10 minutes,0
Research and book a vacation today at 3:00 pm within 1 hour ,0
Plan a menu for the week and go grocery shopping tomorrow at 11:00 am for two hours.,0
Organize my closet on February 2nd at 4:00 pm within 1 hour,0
Schedule a doctor's appointment for a routine check-up today at 2:00 pm within 20 minutes.,0
Create a budget for the upcoming month today at 3:00 pm within 30 minutes.,0
Call Bill and discuss the project today at 2:00 pm for 30 minutes,0
Finish reading a book at 3:00 pm today in 2 hours.,0
Complete a 5-page essay tomorrow at 12:00 pm within 4 hours.,0
Cook a meal from scratch today at 4:00 pm in 1 hour.,0
Write and send 10 professional emails on February 2nd at 2:00 pm for 30 minutes.,0
Finish a 1000-piece puzzle today at 4:00 pm in 3 hours.,0
Organize my closet today at 2:30 pm in 2 hours.,0
Start learning a new language for 30 minutes  at 8:00 am.,0
Solve 20 math problems in 30 minutes today at 3:00 pm.,0
Write a 500-word blog post on June 2nd at 2:00 pm within 1 hour.,0
Conduct 5 interviews for a research project on August 15 th at 12:00 pm in 2 hours.,0
Clean my bedroom today at 4:00 pm in 45 minutes.,0
Complete a 30-question multiple-choice test in 45 minutes on March 3rd at 4:00 pm.,0
Learn a new song on an instrument tomorrow at 5:00 pm in 1 hour.,0
Respond to 50 work emails today at 3:45 pm in 2 hours.,0
Create a 5-minute presentation tomorrow at 3:00 pm in 2 hours.,0
Bake and decorate a cake today at 2:45 pm in 2 hours.,0
Read and respond to 10 customer support emails tomorrow at in 1 hour.,0
Complete a 30-minute job interview at 2:00 PM on June 3rd.,0
Watch a 2-hour movie at the cinema at 8:00 PM on August 15th.,0
Respond to work emails today from 9:00am to 9:45am.,0
Clean the kitchen tomorrow from 1:00pm to 1:45pm.,0
Write a blog post for 1 hour today from 2:00pm.,0
Complete a 30-minute phone call today from 3:00pm.,0
Shop for groceries tomorrow from 6:00pm to 6:45pm.,0
Prepare and eat dinner today from 7:00pm to 8:00pm.,0
Complete a 5k race from 8:30 am to 9:00 am on April 15th.,0
Take a 10-minute quiz in class on September 20th at 4:00 pm.,0
Deliver a 20-minute keynote speech at a conference on July 1st from 8:20 am to 8:40 am.,0
Take a 15-minute break during the workday on October 8th at 4:00 pm.,0
Complete a 3-hour exam for a certification on May 12th at 8:00 am.,0
I plan to cook breakfast tomorrow for 30 minutes starting at 9:00 am.,0
Take a 30-minute ride on a helicopter tour on September 3rd at 4:30 pm.,0
Deliver a 1-hour training session at work on May 5th at 11:00 am.,0
Take a 5-minute pitch for a business idea on August 31st at 3:35 pm.,0
Take a 20-minute guided meditation at 12:00 pm on December 21st.,0
Clean the house today from 9:00 AM to 11:00 AM.,0
Go for a bike ride tomorrow from 7:00 AM to 8:00 AM.,0
Study Science today from 10:00 AM to 12:00 PM,0
Wake up at 7:00 AM and have breakfast for 30 minutes,0
commute to work today from 7:00 AM to 8:00 AM.,0
take a 30-minute break today at 11:00 AM.,0
Go for a hike today from 6:00 AM to 9:00 AM.,0
Meeting with client at 9AM for 1 hour,0
Workout at gym at 6PM for 45 minutes,0
Dentist appointment at 2PM for 30 minutes,0
Dinner with friends at 7:30PM for 2 hours,0
Conference call with team at 10:30AM for 1.5 hours,0
Yoga class at 8AM for 1 hour,0
Grocery shopping at 11AM for 45 minutes,0
Doctor's appointment at 3PM for 1 hour,0
Study PHP today from 8am to 10am,0
Haircut at 1PM for 30 minutes,0
Try new recipe at 9pm for one hour today,0
Volunteer work at 2PM for 2 hours,0
Lunch with colleague at 12:30PM for 1 hour,0
Coffee meeting with mentor at 3PM for 45 minutes,0
Buy new phone at 3 pm for 2 hours,0
Music lesson at 4PM for 30 minutes,0
Date night at 8PM for 3 hours,0
Webinar at 2:30PM for 1.5 hours,0
Family dinner at 6PM for 2 hours,0
Language class at 7PM for 1.5 hours,0
Conference call with overseas team at 9AM for 2 hours,0
Doctor's appointment at 10AM for 30 minutes,0
Lunch with friend at 1PM for 1.5 hours,0
Team training session at 3PM for 2 hours,0
Dentist appointment at 9:30AM for 1 hour,0
Call my best friend tomorrow at 1:00 pm for 30 minutes.,0
Video shoot at 4PM for 3 hours,0
Online course at 10AM for 2 hours,0
Dinner with family at 7PM for 2 hours,0
Gym session at 5:30PM for 1 hour,0
Hair appointment at 11AM for 1.5 hours,0
Team brainstorming session at 2PM for 2 hours,0
Coffee meeting with potential client at 10:30AM for 45 minutes,0
Parent-teacher conference at 3PM for 30 minutes,0
Volunteer work at 9AM for 3 hours,0
Shopping at mall at 2PM for 1 hour,0
Board meeting at 11AM for 2 hours,0
Personal project work at 4PM for 3 hours,0
Language exchange session at 6PM for 1 hour,0
Dinner with spouse at 7:30PM for 2 hours,0
Attend team meeting at 10AM to 11AM,0
Doctor's appointment at 2PM to 3PM,0
Lunch with colleague at 12:30PM to 1:30PM,0
I plan to have a picnic in the backyard with family from 1.00PM to 3.00PM this Sunday.,0
I aim to spend an hour every day from 5.00PM to 6.00PM practicing yoga.,0
I aim to take a photography course for 2 hours from 4.00PM to 6.00PM every Monday,0
I want to organize a potluck dinner with friends from 7.00PM to 9.00PM this Friday.,0
Gym session at 5PM to 6PM,0
Haircut appointment at 11AM to 12PM,0
Dentist appointment at 1PM to 2PM,0
I want to dedicate an hour every day from 4.00PM to 5.00PM for self-care activities like bubble bath or massage.,0
I plan to work on my photography skills for 2 hours from 3.00PM to 5.00PM this Friday.,0
I aim to start a new workout routine for 45 minutes every day from 6.00AM to 6.45AM.,0
Lunch with friend at 12PM to 1PM,0
I intend to learn a new recipe and cook dinner for friends from 7.00PM to 9.00PM this Saturday.,0
I hope to start  language class at 7PM to 8PM,0
I want to start a journaling habit for 30 minutes every day from 7.00PM to 7.30PM.,0
I intend to bake a cake from scratch from 10.00AM to 11.00AM this Sunday.,0
Have to plan video shoot at 2PM to 5PM,0
Do online course at 10AM to 12PM,0
I am planning to dedicate 2 hours from 2 pm to 4 pm today to declutter my closet.,0
I need to schedule a meeting with my boss for 1 hour from 10 am tomorrow to discuss the upcoming project.,0
I am aiming to read a book for 1 hour from 8 pm tonight to unwind and relax.,0
I intend to have a video call with my best friend for 30 minutes from 6 pm this evening to catch up.,0
I hope to take a yoga class for 1 hour from 9 am tomorrow to start my day off right.,0
I plan to practice playing guitar for 45 minutes from 7 pm tonight to improve my skills.,0
I aim to learn a new language for 1 hour from 11 am to 12 pm every day to broaden my horizons.,0
I intend to attend a networking event for 2 hours from 5 pm tomorrow to expand my professional connections.,0
I hope to take a hot bath for 30 minutes from 9 pm tonight to relieve my stress.,0
I want to write a letter to my grandmother for 30 minutes from 3 pm tomorrow to show her how much I care.,0
I plan to cook a healthy meal for 1 hour from 6 pm this evening to fuel my body with nutritious food.,0
I aim to volunteer at a local shelter for 2 hours from 10 am on Saturday to give back to the community.,0
I hope to take my dog for a walk for 45 minutes from 4 pm tomorrow to get some fresh air.,0
I want to start a gratitude journal and write for 15 minutes every day to cultivate a positive mindset.,0
I plan to organize my bookshelf for 30 minutes from 2 pm today to tidy up my living space.,0
I aim to meditate for 20 minutes from 7 am every morning to calm my mind and focus on my intentions.,0
I intend to watch a documentary for 1 hour from 9 pm tonight to learn something new.,0
I hope to start a new art project for 2 hours from 2 pm on Sunday to express my creativity.,0
I want to take a photography class for 1 hour from 11 am tomorrow to improve my skills.,0
Yoga class from 7AM for 1 hour,0
Writing a blog post from 9AM for 2 hours,0
Deep cleaning the kitchen from 1PM for 3 hours,0
Research new project ideas tomorrow at 2:00 pm for 1 hour.,0
Running errands from 2PM for 2 hours,0
Coding a new feature from 4PM for 3 hours,0
Practicing guitar from 6PM for 1 hour,0
Cleaning the bathroom from 11AM for 2 hours,0
Reading a book from 3PM for 2 hours,0
Writing a report from 9AM for 3 hours,0
Working on a design project from 1PM for 4 hours,0
Doing laundry from 2PM for 1.5 hours,0
Cooking dinner from 5PM for 1 hour,0
Editing a video from 11AM for 3 hours,0
Running on the treadmill from 7AM for 45 minutes,0
Working on a research paper from 2PM for 3 hours,0
Taking a nap from 3PM for 1 hour,0
Building a prototype from 10AM for 4 hours,0
Watching a movie from 8PM for 2 hours,0
Reviewing a project proposal from 1PM for 2.5 hours,0
Planning a vacation from 9AM for 2 hours,0
Taking a walk in the park from 2PM for 1 hour,0
Practicing meditation from 7AM for 30 minutes,0
Writing a grant proposal from 11AM for 3 hours,0
Having a phone call with a friend from 3PM for 45 minutes,0
Researching for a blog post from 2PM for 2 hours,0
Cleaning the living room from 10AM for 1.5 hours,0
Working on a marketing campaign from 1PM for 3 hours,0
Painting a picture from 4PM for 2 hours,0
Baking a cake from 11AM for 1.5 hours,0
Having a meeting with colleagues from 2PM for 1 hour,0
Working on a software project from 9AM for 4 hours,0
Having a coffee break from 10AM for 30 minutes,0
Reviewing a book from 3PM for 2 hours,0
Playing tennis from 5PM for 1.5 hours,0
Plan a surprise party for a friend tomorrow at 6:00 pm for 2 hours.,0
Organizing paperwork from 9AM for 2 hours,0
Having a video call with family from 1PM for 1 hour,0
Learning a new language from 3PM for 2 hours,0
Cook a healthy dinner tomorrow at 7:00 pm for 1 hour.,0
Doctor's appointment at 11AM to 12PM,0
Conference call with team at 2PM to 3PM,0
Lunch with friends at 12:30PM to 1:30PM,0
Gym session at 6PM to 7PM,0
Haircut appointment at 2:30PM to 3:30PM,0
Dentist appointment at 10:30AM to 11:30AM,0
Parent-teacher conference at 4PM to 5PM,0
Therapy session at 11:30AM to 12:30PM,0
Dinner reservation at 7PM to 8PM,0
Music lesson at 3:30PM to 4:30PM,0
Shopping at the mall from 10AM to 11:30AM,0
I want to start a blog about my travels and experiences to share my stories with others from 8pm for 2 hours,0
Organize closet tomorrow at 4:00 pm for 1 hour.,0
Decorate my home at 7pm for 2 hours,0
Date night at 6:30PM to 9:30PM,0
Volunteering at a shelter from 12PM to 2PM,0
Interview at 11AM to 12PM,0
watch favourite movie from 8PM to 10PM,0
Have a cup of  tea from 4pm fpr 30 minutes,0
Meeting with mentor at 4PM to 5PM.,0
I have to attend the graduation ceremony on March 15th from  8.30 am to 2 pm,1
I have to participate in a charity programme tomorrow for 4 hours from 11am,1
I am going to attend a 3 hour live music concert tomorrow from 6pm to 10 pm,1
I am going to visit the museum tomorrow for 2 hours from 10 am,1
I have to attend the birthday party on March 2nd from 6 pm to 9 pm,1
Have to join pongal festival tomorrow from 9 am to 11 am,1
Have to attend a wedding today at 10 am for 5 hours,1
Have to visit art gallery today from 2pm to 3 pm,1
Have to attend a business meeting tomorrow from 2 pm to 4 pm,1
Attend a dance class from 4.30 pm to 6.30 pm,1
Attend a job interview tomorrow at 2 pm for 2 hours,1
Visit a friend's house today at 5 pm for 1 hour,1
Attend a business networking event tomorrow for 2 hours from 10 am,1
Attend a webinar on digital marketing for 1 hour from 3 pm today,1
Attend a conference on leadership skills next Tuesday for 3 hours from 10 am,1
Attend a workshop on public speaking skills next Saturday for 4 hours from 8 am,1
Attend a concert with friends next Saturday from 7 pm to 10 pm,1
I'm going to a film screening from 7.00PM to 9.00PM this Wednesday.,1
Attend a networking event from 6.00PM to 8.00PM this Thursday,1
Have to go a concert from 8.00PM to 10.00PM this Saturday.,1
I'm going to a workshop from 10.00AM to 12.00PM tomorrow.,1
Have to go to a beach clean-up event from 9.00AM to 11.00AM this Sunday.,1
Attend to a panel discussion from 2.00PM to 4.00PM this Friday.,1
I'm going to a hiking trip from 9.00AM to 12.00PM this Saturday.,1
I'm going to a charity auction from 7.00PM to 10.00PM this Friday.,1
I'm going to a cooking competition from 2.00PM to 4.00PM this Sunday.,1
Have to go to a fashion show from 7.00PM to 9.00PM this Thursday.,1
I'm going to a poetry reading from 6.00PM to 8.00PM this Wednesday.,1
Attend a business conference from 9.00AM to 5.00PM next Monday.,1
Attend a training session from 2.00PM to 4.00PM tomorrow.,1
I'm going to a beer festival from 2.00PM to 6.00PM this Saturday.,1
I'm attending a seminar from 10.00AM to 12.00PM this Thursday.,1
I'm going to a stand-up comedy show from 8.00PM to 10.00PM this Friday.,1
I'm going to a sports game from 2.00PM to 4.00PM this Sunday.,1
I'm attending a book club meeting from 7.00PM to 9.00PM this Tuesday.,1
I'm going to a cultural festival from 10.00AM to 8.00PM this Saturday.,1
I'm attending a music workshop from 2.00PM to 4.00PM this Sunday.,1
I'm going to a wine and cheese tasting from 6.00PM to 8.00PM this Wednesday.,1
I'm going to a pop-up shop from 11.00AM to 2.00PM this Saturday.,1
I'm attending a job training session from 9.00AM to 12.00PM this Friday.,1
I'm attending a charity benefit from 6.00PM to 9.00PM this Thursday.,1
I'm going to a theater rehearsal from 7.00PM to 9.00PM this Tuesday.,1
I'm attending a language exchange meetup from 6.00PM to 8.00PM this Monday,1
I'm going to a book club discussion from 5.00PM to 7.00PM this Friday.,1
I'm attending a historical tour from 10.00AM to 12.00PM this Sunday.,1
I'm going to a flower arranging class from 2.00PM to 4.00PM this Wednesday.,1
I aim to complete a crossword puzzle from 7.00PM to 8.00PM this Thursday.,1
I hope to have a spa day from 12.00PM to 3.00PM this Friday.,1
I plan to have a movie night with friends from 8.00PM to 10.00PM this Wednesday.,1
I hope to attend a music festival from 2.00PM to 8.00PM this Friday.,1
I want to attend a yoga class from 8.00AM to 9 AM,1
Attend John's wedding next Saturday from 2 PM to 8 PM,1
"Watch the premiere of the new season of ""Strange Things"" on Netflix tomorrow starting at 8 PM for 3 hours",1
Go to the art exhibition at the meseum on Sunday from 1 PM to 3 PM,1
Go to watch Stage Craft on Friday from 6 PM - 10 PM,1
"Go to the theater performance of ""The Lion King"" next Friday at 7PM - 9 PM",1
Attend the charity auction at the community center on Saturday from 6 PM to 9 PM,1
Meet up with friends for a dinner at the new restaurant tonight at 7 PM,1
Attend the book signing event with the author on Sunday from 2 PM to 4 PM,1
Attend the business conference next week from Monday to Wednesday from 9 AM to 5 PM,1
Attend the theater play next Saturday from 2 PM to 5 PM,1
Go to the birthday party of a friend next Saturday from 7 PM to 9 PM,1
Go to the book launch event of the favourite author next Sunday from 4 PM to 6 PM,1
I'm going to have a job interview tomorrow at 10Am for an hour,1
I'm attending a webinar today from 2PM to 3PM,1
I'm going to attend a meeting tomorrow at 2.30PM for 2 hours,1
I'm going to watch a movie tonight from 7PM-9PM,1
I'm going to have a lunch meeting tomorrow at 12.30PM for an hour,1
I'm attending a concert tonight from 8PM to 9PM,1
I'm going to attend a job training session tomorrow at 9AM for 4 hours,1
I plan to have a board game night with friends from 7.00PM to 9.00PM this Wednesday.,1
Attend the team meeting at 10 AM today for an hour,1
I;m going to have a tea break at 3PM for 30 minutes,1
I'm attending a networking event tonight from 5.30Pm to 7.30PM,1
I'm going to attend a conference tomorrow at 1Pm for 3 hours,1
I'm going to a birthday party tonight at 8Pm for 2 hours,1
I'm attending a dance class today from 5pm - 6pm,1
iIm going to the dentist appointment tomorrow at 3Pm for 1 hour,1
I'm going to a charity event tonight from 6.30 pm to 9.30 pm,1
I'm attending a parent-teacher meeting tomorrow at 2pm for 1 hour,1
I'm going to the grocery store today at 4pm for 1 hour,1
I'm going to the bank today at 2.30pm for 30 minutes,1
I'm attending a wedding reception tonight from 6pm to 10pm,1
I'm going to a doctor's appointment on Saturday at 9.30am for 1 hour,1
I'm going to the gym tomorrow at 8am for 2 hours,1
I'm going to have alunch break at 12.30 for a hour.,1
I'm going to have a nail appointment on Thursday at 11am for a hour,1
I'm going to the library tomorrow at 10am for 2 hours,1
I'm attending a workshop today from 2pm to 4pm,1
I'm going to watch a cricket match on Sunday from 4pm to 7pm,1
I'm attending a job interview tomorrow at 2pm for an hour,1
